DPA_PARROQ,RIESGO_INUNDACION,SCORE
130452.0,Medio,0.83
130451.0,Alto,0.93
130550.0,Medio,0.98
130551.0,Alto,0.93
130552.0,Medio,0.99
130651.0,Bajo,0.99
130652.0,Bajo,0.98
130650.0,Bajo,0.99
130653.0,Medio,0.87
130654.0,Bajo,0.99
130656.0,Medio,0.73
130657.0,Bajo,0.99
130658.0,Bajo,0.97
130750.0,Alto,0.95
130850.0,Bajo,0.97
130851.0,Bajo,0.99
130852.0,Bajo,0.92
130952.0,Bajo,0.99
130950.0,Bajo,0.97
131051.0,Medio,0.94
131052.0,Medio,0.97
131053.0,Alto,0.94
131054.0,Alto,0.96
131050.0,Medio,0.9
131151.0,Medio,0.96
131150.0,Alto,0.94
131152.0,Medio,0.98
131250.0,Medio,0.59
131351.0,Alto,0.96
131352.0,Medio,0.98
131353.0,Alto,0.96
131355.0,Medio,0.97
131350.0,Bajo,0.97
131450.0,Bajo,0.99
131453.0,Medio,0.68
131457.0,Medio,0.86
131552.0,Alto,0.8
131551.0,Medio,0.82
131550.0,Bajo,0.92
131653.0,Medio,0.96
131651.0,Medio,0.93
131652.0,Medio,0.96
131650.0,Medio,0.94
131752.0,Alto,0.97
131753.0,Medio,0.96
131751.0,Alto,0.98
131750.0,Medio,0.96
131850.0,Medio,0.93
131951.0,Bajo,0.97
131950.0,Bajo,0.93
131952.0,Bajo,0.95
132050.0,Bajo,0.96
132150.0,Bajo,0.64
132251.0,Medio,0.72
132250.0,Bajo,0.97
140151.0,Alto,0.94
140162.0,Alto,0.93
140153.0,Alto,0.92
140150.0,Medio,0.92
140164.0,Medio,0.94
140156.0,Medio,0.97
140157.0,Alto,0.93
140158.0,Medio,0.98
140160.0,Medio,0.97
140251.0,Medio,0.67
140252.0,Bajo,0.87
140253.0,Medio,0.99
140254.0,Medio,0.96
140258.0,Alto,0.96
140255.0,Medio,0.96
140250.0,Bajo,0.97
140256.0,Medio,0.97
140257.0,Alto,0.86
109074.41182682154,Medio,0.99
140351.0,Medio,0.98
140353.0,Medio,0.99
140356.0,Alto,0.97
109074.41182682154,Medio,0.97
140358.0,Medio,0.99
140455.0,Alto,0.97
140451.0,Alto,0.94
140452.0,Medio,0.91
140450.0,Alto,0.85
140454.0,Medio,0.84
140552.0,Medio,0.99
140551.0,Medio,0.91
140553.0,Medio,0.99
109074.41182682154,Bajo,0.98
109074.41182682154,Medio,0.99
140550.0,Medio,0.98
140556.0,Medio,0.99
140651.0,Alto,0.95
140652.0,Alto,0.85
140655.0,Medio,0.97
140650.0,Medio,0.95
140751.0,Medio,0.95
140750.0,Medio,0.97
140851.0,Medio,0.98
140852.0,Medio,0.81
140853.0,Bajo,0.85
140850.0,Medio,0.97
140854.0,Alto,0.95
140951.0,Medio,0.85
140952.0,Alto,0.97
140954.0,Alto,0.95
140950.0,Medio,0.99
109074.41182682154,Medio,0.94
109074.41182682154,Medio,0.96
109074.41182682154,Bajo,0.97
109074.41182682154,Medio,0.99
109074.41182682154,Medio,0.94
141251.0,Medio,0.94
109074.41182682154,Medio,0.99
150151.0,Alto,0.99
150153.0,Medio,0.96
150154.0,Medio,0.98
150155.0,Alto,0.98
150156.0,Medio,0.96
150157.0,Alto,0.8
150150.0,Alto,0.87
150350.0,Medio,0.94
150352.0,Alto,0.9
150354.0,Alto,0.94
150450.0,Alto,0.93
150451.0,Alto,0.98
150452.0,Bajo,0.91
150453.0,Alto,0.88
150454.0,Medio,0.96
150455.0,Alto,0.94
150750.0,Medio,0.98
150751.0,Medio,1.0
150752.0,Medio,0.98
150753.0,Medio,0.99
150754.0,Medio,0.98
150756.0,Medio,0.8
109074.41182682154,Medio,0.93
160152.0,Alto,0.98
160154.0,Medio,0.95
160166.0,Alto,0.99
160155.0,Alto,0.96
160156.0,Medio,0.9
160157.0,Alto,0.98
160150.0,Alto,0.71
160158.0,Medio,0.95
160159.0,Medio,0.89
160161.0,Alto,0.98
160162.0,Alto,0.98
160163.0,Alto,0.98
160164.0,Medio,0.96
160165.0,Medio,0.96
160251.0,Alto,0.96
160250.0,Medio,0.95
160252.0,Medio,0.75
160351.0,Alto,0.89
160350.0,Medio,0.93
160450.0,Medio,0.95
160451.0,Alto,0.98
170151.0,Medio,0.98
170152.0,Medio,0.98
170153.0,Bajo,0.96
170154.0,Bajo,0.94
170155.0,Medio,0.94
170158.0,Bajo,0.96
170159.0,Medio,0.96
170156.0,Medio,0.95
170157.0,Bajo,0.98
170160.0,Bajo,0.96
170161.0,Medio,0.87
170162.0,Medio,0.95
170163.0,Medio,0.94
170164.0,Bajo,1.0
170165.0,Bajo,0.91
170166.0,Medio,0.98
170168.0,Bajo,0.93
170169.0,Bajo,0.97
170170.0,Bajo,0.91
170171.0,Bajo,0.93
170172.0,Bajo,0.91
170174.0,Bajo,0.93
170175.0,Bajo,0.97
170176.0,Medio,0.95
170177.0,Bajo,0.94
170178.0,Medio,0.95
170179.0,Bajo,0.96
170150.0,Bajo,0.88
170180.0,Bajo,0.98
170181.0,Bajo,0.93
170183.0,Bajo,0.96
170184.0,Medio,0.98
170185.0,Bajo,0.93
170186.0,Bajo,0.97
170251.0,Bajo,0.99
170252.0,Bajo,0.91
170250.0,Bajo,0.94
170253.0,Medio,0.95
170254.0,Bajo,0.99
170255.0,Bajo,1.0
170351.0,Bajo,0.95
170352.0,Bajo,0.98
170353.0,Medio,0.98
170354.0,Bajo,0.93
170350.0,Bajo,0.94
170355.0,Medio,0.88
170356.0,Medio,1.0
170357.0,Bajo,0.99
170451.0,Medio,0.96
170452.0,Bajo,0.98
170450.0,Medio,0.98
170453.0,Medio,0.97
170454.0,Medio,0.94
109074.41182682154,Medio,0.93
109074.41182682154,Medio,0.98
109074.41182682154,Bajo,0.94
170751.0,Medio,0.98
170750.0,Medio,0.98
170850.0,Alto,0.95
170950.0,Medio,0.98
180151.0,Bajo,0.93
180150.0,Bajo,0.98
180152.0,Bajo,0.94
180153.0,Bajo,0.92
180154.0,Medio,0.98
180167.0,Medio,0.97
180155.0,Medio,0.89
180156.0,Bajo,0.97
180157.0,Medio,0.95
180158.0,Bajo,0.97
180159.0,Bajo,0.98
180160.0,Bajo,0.97
180161.0,Bajo,0.96
180162.0,Bajo,0.99
180163.0,Medio,0.83
180164.0,Bajo,0.98
